term,estimate,std.error,statistic,p.value
(Intercept),0.055807134762867056,1.1943253225987676,-2.4163044189295375,0.01567894685688816
patient_nbr,1.0000000003145948,3.058764528351757e-10,1.0285031566278122,0.3037132067383352
raceAfricanAmerican,1.1578833719090587,0.08127327819504698,1.803712883617764,0.07127632877238885
raceAsian,1.1595328868763353,0.15491502786749844,0.9554737350511503,0.33933818146573963
raceCaucasian,1.1943235519534527,0.07831642863404809,2.2674675402639286,0.0233616796367685
raceHispanic,1.1352702277058369,0.10761838285351792,1.1788943981113031,0.23844022866237374
raceOther,1.0425173550778837,0.11883515970930365,0.3503872272383838,0.7260481107814866
age[10-20),1.9165125717151492,0.6272713618103481,1.037042666296275,0.29971597323877186
age[20-30),2.8430555763005256,0.6256192663391477,1.670152179075439,0.09488925865824635
age[30-40),2.7189681910316703,0.623159309622256,1.6051312262566702,0.10846492858459976
age[40-50),2.579209493007191,0.6219771606367057,1.5233404277335563,0.1276735576945346
age[50-60),2.44692800190424,0.6218183201633569,1.4390591785500262,0.15013375655610822
age[60-70),2.8640884245686458,0.6217450804735684,1.6924140715685976,0.09056705121910512
age[70-80),3.052836882813628,0.6217473106151697,1.795056069850993,0.0726447670097351
age[80-90),3.1765276184409146,0.6219492309689226,1.8583328007334756,0.06312176862014322
age[90-100),2.9883047466815036,0.6245034693786023,1.7529226112180079,0.07961529179182845
weightTRUE,1.1350851956797916,0.060883379397816746,2.081154358422857,0.03741977966502035
admission_source_idTRUE,1.1449582358781483,0.05661807942573539,2.39089991215499,0.016807133961477212
admission_type_idTRUE,1.008330846468581,0.04666566261921289,0.17778246431856992,0.8588938194037413
discharge_disposition_idTRUE,0.9677092638871619,0.05169688004509961,-0.6349238873640389,0.5254780568670421
payer_codeCH,1.056297063672304,0.2980742241963892,0.18374435484030438,0.8542140111295645
payer_codeCM,1.0162662058858836,0.09380292271935611,0.1720130677824036,0.8634272555229847
payer_codeCP,0.9436490116688752,0.08956909195093492,-0.6475558742916019,0.5172722448786897
payer_codeDM,1.0150446575092231,0.1503356031944269,0.09932849408005867,0.920877455276801
payer_codeFR,1.2977929727898526e-5,535.4111790115604,-0.02101611023001562,0.983232804408889
payer_codeHM,1.0495995458780367,0.06843921831563901,0.7073240714469218,0.4793651098874237
payer_codeMC,1.1099874011673914,0.05737223558991668,1.8188007472122922,0.06894183436735819
payer_codeMD,1.131295581621952,0.07591728059762792,1.624972699174676,0.10416837612477328
payer_codeMP,1.068285952469926,0.3673997858465312,0.17979175003235964,0.8573160605985688
payer_codeOG,1.2554812650226803,0.11222473114108307,2.0273515014663475,0.04262647803346898
payer_codeOT,0.7978952173420958,0.3994589660613593,-0.5652094856420489,0.5719312855300072
payer_codePO,0.9317881455724424,0.16645516976144273,-0.4244374137165648,0.6712468400044409
payer_codeSI,1.5922406804387819,0.41920572358505664,1.1095799293905169,0.26718008397115084
payer_codeSP,1.1163210125081369,0.07153638033299115,1.5382168863094263,0.12399559351293249
payer_codeUN,1.0727135797810077,0.08894499664653435,0.7891561822166876,0.4300207285220396
payer_codeunknown,1.2911619328181774,0.05671169395301814,4.505993707267918,6.606304505494377e-6
payer_codeWC,0.5165506123893678,0.46011405242474107,-1.435691869589199,0.15109003978032823
medical_specialtyAnesthesiology,0.1735967139426088,1.3172093211783114,-1.329341037664907,0.18373548098943882
